NR,LK,LKNR,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022
105,SK Erlangen,9562,158,177,229,262,286,320,356
108,SK Essen,5113,1283,1423,1819,1943,2146,2360,2604
111,SK Flensburg,1001,342,378,477,551,575,561,578
113,SK Frankenthal,7311,93,89,119,99,135,148,153
114,SK Frankfurt (Oder),12053,143,199,196,196,194,244,242
115,SK Frankfurt am Main,6412,2374,2889,3127,3602,4337,4799,4993
116,SK Freiburg i.Breisgau,8311,542,678,835,861,938,1088,1196
123,SK Fürth,9563,195,199,198,242,275,335,376
126,SK Gelsenkirchen,5513,411,425,482,578,676,655,642
127,SK Gera,16052,258,295,235,225,217,245,245
141,SK Hagen,5914,257,328,407,422,483,518,526
142,SK Halle,15002,748,763,799,780,753,707,748
143,SK Hamburg,2000,7229,7240,7591,8227,9208,10656,10390
145,SK Hamm,5915,274,292,345,369,402,400,345
152,SK Heidelberg,8221,364,431,512,504,576,567,626
154,SK Heilbronn,8121,358,352,272,368,317,371,407
159,SK Herne,5916,322,353,277,460,499,625,572
166,SK Hof,9464,116,109,106,88,100,95,114
172,SK Ingolstadt,9161,337,369,394,435,437,499,586
173,SK Jena,16053,324,302,302,339,327,371,364
175,SK Kaiserslautern,7312,394,425,345,479,585,585,626
177,SK Karlsruhe,8212,879,974,1112,1152,1070,1205,1304
179,SK Kassel,6611,440,452,525,591,657,644,734
181,SK Kaufbeuren,9762,106,90,95,76,99,93,136
183,SK Kempten,9763,199,208,200,201,195,260,266
184,SK Kiel,1002,981,1216,1441,1560,1710,1717,1755
187,SK Koblenz,7111,224,252,290,311,385,380,365
188,SK Köln,5315,2900,2755,2706,2717,3259,3479,4015
190,SK Krefeld,5114,571,680,824,854,950,1038,966
196,SK Landau i.d.Pfalz,7313,103,114,142,153,179,168,160
198,SK Landshut,9261,120,160,187,192,169,212,239
201,SK Leipzig,14713,1214,1538,1838,1913,1988,2027,2213
203,SK Leverkusen,5316,434,483,609,747,706,858,820
209,SK Lübeck,1003,396,631,1002,1548,1811,1925,1925
212,SK Ludwigshafen,7314,343,376,476,477,537,585,596
215,SK Magdeburg,15003,606,623,672,608,709,731,724
220,SK Mainz,7315,573,696,852,965,1075,1132,1093
222,SK Mannheim,8222,802,854,970,967,973,1072,1090
230,SK Memmingen,9764,91,79,86,91,107,111,144
237,SK Mönchengladbach,5116,429,412,459,624,738,872,887
239,SK Mülheim a.d.Ruhr,5117,340,377,401,535,582,713,713
240,SK München,9162,3228,3545,4290,4551,5846,6709,7097
242,SK Münster,5515,873,865,943,1080,1173,1397,1458
246,SK Neumünster,1004,242,266,276,278,362,401,419
250,SK Neustadt a.d.Weinstraße,7316,83,121,124,138,138,165,190
259,SK Nürnberg,9564,1046,1120,1288,1232,1502,1622,1825
263,SK Oberhausen,5119,505,575,718,752,799,933,909
268,SK Offenbach,6413,351,409,428,491,545,570,704
